"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
277.839222128668,330.610011663358,226.598263623254,307.619741917662,235.49010147468,369.668859997253,415.904533152744,334.04833123803,306.517737773798,214.453151639345,250.12577864664
228.575906571909,322.210074306217,243.109687771859,270.720419286889,275.420940078131,376.050649144186,362.875102269486,337.559728209328,359.726265141558,251.045067406992,226.163901336303
269.546385048201,320.667534292724,272.565471501697,324.27603904187,260.72496153727,361.259560207594,415.753380559618,369.241259922868,367.575513388629,209.577969262983,203.763462856065
220.332157507038,312.185915366938,265.857994486299,345.336646448441,246.164248997838,329.132857681868,469.338098860294,328.297887203438,304.090374684799,189.318885265324,258.872796882936
215.231807517817,298.968188954957,249.076517966682,350.753272778429,286.251734571984,381.562408923081,411.328072856191,316.174204675218,368.108278921045,216.563461056837,226.120532188309
263.811983695914,275.536293698885,255.588709440579,306.850472068415,249.834298040577,313.382897302585,396.365967489425,329.313814289459,350.99177928027,217.314560141207,241.623120625309
278.164343261996,302.529704224535,285.31589723778,343.222076681665,257.951823314218,337.75303224611,388.060797636709,346.431985050597,339.363421425048,212.212891631559,253.134320191585
218.709458701634,299.636730961836,253.004070980114,334.585591774719,288.393321851428,310.164516332554,388.39452882435,296.845618834336,357.759011837349,224.372156653175,249.651567628112
236.855031874248,287.464300318149,227.172830655611,295.123735106344,276.505563965773,412.792039070241,438.043531585876,326.638129081086,323.881094025622,208.903396344916,236.098409383119
223.792237824362,341.540800026468,249.80431559367,365.844702840194,278.642581669569,385.268454107954,409.145592925288,329.078154114359,378.033265850624,191.743304770415,222.354714575275
261.90632078325,258.403380192345,249.747476939588,343.112650903749,274.042849993346,355.118759289445,446.703767811828,347.393376250619,319.138176820066,216.360638889365,227.286761524072
202.614260962668,287.195196651664,293.023455153059,330.437176760061,279.067274022556,374.662027919156,412.295613963934,322.328785948034,345.286625321615,221.849532168801,206.20372381056
258.834831041002,278.380885387836,253.450999011544,336.236190329326,277.66725581305,369.373039101235,405.660698024596,322.058039427424,288.329169959672,241.4272948834,253.043748552437
216.958858651714,277.094823985851,277.811113501288,312.259205780771,280.984124350751,356.653232918019,440.156169992042,319.143555077246,357.120072296715,240.606799764278,222.616397198447
233.656375678669,245.443109113636,222.839659902915,344.142126184576,278.852363762084,320.655595107739,428.362144379512,336.646589521411,323.886556420433,228.895330726718,202.354871329735
219.936166514789,255.228596453452,220.806265664539,334.281018761484,277.210828345937,318.353876118201,400.230661902243,311.631161799054,336.487754263556,197.859706011186,221.506239926737
272.351214652941,277.958655460509,280.822441343445,354.243786394894,304.911135787026,363.583731791361,448.263835481098,333.482249921455,354.576729580595,227.41056852845,217.043430101555
235.31024251505,306.983204218662,215.088648652812,352.634354521248,286.13671123396,377.231526674188,407.6543355301,373.216433295753,372.98078767297,213.390412931979,194.923543868395
239.194357188956,348.647009288745,244.132482611827,326.826383460402,281.118217925138,339.594481279455,439.211033770905,329.481313127156,369.673982075869,256.085633800775,249.501268015887
252.613202934035,307.052722425633,209.614102168901,360.89070995534,265.150947347637,381.009468127698,425.093560740224,349.722253630656,339.893885045809,215.817955006461,193.000770097151
242.334489722352,320.26093927913,251.177317328166,350.300952599255,259.296597146336,357.636701837324,400.005596346196,334.354992526389,327.330159586775,220.319053555368,278.651497107062
220.225666317696,282.767340354692,221.130306324866,341.887712705488,304.962665642537,401.984517706508,394.617220486628,314.298218592479,352.442362305129,225.807599420693,227.755660732052
266.132335108254,288.270043009425,204.439532142577,395.353601615589,284.57091542596,340.9562888819,392.865384403438,350.686160231936,321.811015003101,214.24030301766,215.723001571286
232.336454284413,320.107264159739,269.333929142369,369.372868878682,263.974757430198,343.443800464274,392.089384898493,361.181243493343,373.278424966241,230.29171783649,287.654850327784
192.463391947367,271.5380410687,221.565173609552,313.199949049654,294.577784932656,321.334393380509,429.816787437018,306.190660846536,388.035258784567,218.417005451279,207.580778466693
239.860145463032,296.283414232085,239.491176538367,329.688935866127,260.828057188248,347.514732818187,370.997618152514,323.349401933567,329.54782074181,191.563359767013,243.669479498341
220.961378173315,273.166059958598,232.28963816816,357.098447940081,271.916973979853,368.174451851483,399.384445053257,331.029470490483,337.364549206482,170.713191152655,276.523971973063
236.79648494335,303.946919709275,242.942412368827,330.312551023891,262.933833720407,373.20114835841,411.653110804829,370.212218371675,380.009057829038,216.006411986167,198.826277108622
252.003876000054,288.987389282949,255.671779961848,376.469918792549,271.630064513608,365.06494667959,384.285195129874,335.278272032265,366.957693802088,216.816389889981,263.118227887378
215.338256987506,280.766690071637,239.368777929542,331.481251181955,255.757699371575,325.167750547409,437.840992256921,370.310270303032,372.144090860191,199.923500365037,238.630787394869
