"WhaleNumber","Dual_Left_Right","KnownSex","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
18698,"Left","F",1,1,1,1,1,1,2,1,1,1,1,2,1
18707,"Dual","0",1,1,1,1,1,1,1,1,1,1,1,2,1
18750,"Left","0",1,1,1,1,1,1,1,1,1,1,2,2,2
18755,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,2
18782,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,2
18802,"Dual","0",1,1,1,1,1,1,1,1,1,1,1,2,2
18805,"Left","0",1,1,1,1,1,1,1,1,1,1,1,2,2
18846,"Left","0",1,1,1,1,1,1,1,1,1,1,2,2,1
19173,"Dual","F",1,1,1,1,1,1,1,1,1,1,1,1,4
19265,"Left","0",1,1,1,1,1,1,1,2,1,1,1,1,2
19286,"Left","0",1,1,1,1,1,1,1,2,1,1,1,1,1
19326,"Left","0",1,1,1,1,1,1,1,2,2,1,1,1,1
19680,"Left","0",1,1,1,1,1,1,1,2,1,1,1,2,3
19740,"Left","0",1,1,1,1,1,1,2,2,1,2,2,1,1
19758,"Left","0",1,1,1,1,1,1,1,2,1,1,1,1,4
19871,"Left","0",1,2,1,1,1,2,1,2,2,3,2,1,2
19940,"Left","0",1,1,1,1,1,1,1,1,2,1,2,1,1
20026,"Left","0",1,1,1,1,1,1,1,1,2,1,1,1,3
20110,"Left","0",1,1,1,2,1,1,1,2,2,1,1,1,3
20153,"Left","0",1,1,1,1,1,1,1,1,2,1,1,1,2
20195,"Left","0",1,1,1,1,1,1,1,1,2,1,2,1,1
20203,"Dual","0",1,1,1,1,1,2,1,1,2,2,1,2,2
20224,"Left","0",1,1,1,1,1,1,1,1,2,2,1,1,2
20225,"Left","0",1,1,1,1,1,1,1,1,2,2,1,2,2
20234,"Left","0",1,1,1,1,1,1,1,1,2,2,1,1,1
20248,"Left","0",1,1,1,1,1,1,1,1,2,2,2,2,2
20266,"Left","F",1,1,1,1,1,1,1,2,2,1,2,2,1
20291,"Left","0",1,1,1,1,1,1,1,1,2,1,1,1,4
20395,"Left","0",1,1,1,1,1,1,1,1,1,2,2,1,1
20396,"Dual","0",1,1,1,1,1,1,1,1,1,6,2,2,14
20403,"Left","0",1,1,1,1,1,1,1,1,1,2,2,2,2
20414,"Left","0",1,1,1,1,1,1,1,1,1,2,2,2,1
